model_name,Fraction inside ellipse (center 0 0; a=10; b=30)
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAE_single_var_Theta_MAPE_Topology,0.817841
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAE_single_var_Theta_MSE_Topology,0.817841
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAE_Phi_MSE_Topology_MAE,0.817609
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MSE_Topology_MAE,0.816819
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MSE_Phi_MAE_Topology_MAE,0.816712
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Mom_X_MAE_Mom_Y_MAE_Mom_Z_MAE_Topology_MAE,0.816058
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MACE_Topology_MAE,0.815568
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MACE_Phi_MAE_Topology_MAE,0.815409
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Mom_X_MAPE_Mom_Y_MAPE_Mom_Z_MAPE_Topology_MAE,0.815391
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MACE_Topology_MAE,0.814459
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MSE_Phi_MAPE_Topology_MAE,0.814059
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAPE_Phi_MAPE_Topology_MAE,0.813745
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MSE_Phi_MSE_Topology_MAE,0.813522
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAE_Topology_MAE,0.813473
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MACE_Phi_MACE_Topology_MAE,0.813437
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAE_Phi_MACE_Topology_MAE,0.813291
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAE_Phi_MAE_Topology_MAE,0.810964
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MACE_Phi_MSE_Topology_MAE,0.809149
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAE_Phi_MAPE_Topology_MAE,0.807609
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MSE_Phi_MAPE_Topology_MAE,0.805364
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MAE_Nu_MomY_MAE_Nu_MomZ_MAE_Lept_Energy_MAPE_Lept_MomX_MAE_Lept_MomY_MAE_Lept_MomZ_MAE_Topology_MAE,0.804684
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAE_Phi_MACE_Topology_MAE,0.804542
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAPE_Phi_MAE_Topology_MAE,0.802973
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MACE_Phi_MAE_Topology_MAE,0.80223
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MAE_Nu_MomY_MAE_Nu_MomZ_MAE_Topology_MAE,0.802001
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAE_Phi_MSE_Topology_MAE,0.801152
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAPE_Phi_MSE_Topology_MAE,0.800717
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MSE_Phi_MACE_Topology_MAE,0.79991
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Mom_X_MACE_Mom_Y_MACE_Mom_Z_MACE_Topology_MAE,0.799815
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MSE_Nu_MomY_MSE_Nu_MomZ_MSE_Lept_Energy_MAPE_Lept_MomX_MSE_Lept_MomY_MSE_Lept_MomZ_MSE_Topology_MAE,0.799636
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Mom_X_MACE_Mom_Y_MACE_Mom_Z_MACE_Topology_MAE,0.797854
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAE_Phi_MACE_Topology_MAE,0.797607
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAPE_Phi_MAPE_Topology_MAE,0.797329
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Mom_X_MACE_Mom_Y_MACE_Mom_Z_MACE_Topology_MAE,0.797072
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAPE_Phi_MSE_Topology_MAE,0.794204
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MAE_Nu_MomY_MAE_Nu_MomZ_MAE_Topology_MAE,0.792156
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MACE_Phi_MACE_Topology_MAE,0.790045
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MACE_Phi_MAPE_Topology_MAE,0.789598
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Mom_X_MAE_Mom_Y_MAE_Mom_Z_MAE_Topology_MAE,0.789422
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAPE_Topology_MAE,0.788141
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MSE_Phi_MAPE_Topology_MAE,0.786969
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MAE_Phi_MAPE_Topology_MAE,0.786798
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MACE_Nu_MomY_MACE_Nu_MomZ_MACE_Lept_Energy_MAPE_Lept_MomX_MACE_Lept_MomY_MACE_Lept_MomZ_MACE_Topology_MAE,0.786373
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MACE_Phi_MSE_Topology_MAE,0.785549
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MACE_Phi_MAE_Topology_MAE,0.784176
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MSE_Nu_MomY_MSE_Nu_MomZ_MSE_Topology_MAE,0.783454
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Mom_X_MAE_Mom_Y_MAE_Mom_Z_MAE_Topology_MAE,0.78337
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MSE_Phi_MSE_Topology_MAE,0.781658
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_MomX_MACE_Nu_MomY_MACE_Nu_MomZ_MACE_Lept_Energy_MAE_Lept_MomX_MACE_Lept_MomY_MACE_Lept_MomZ_MACE_Topology_MAE,0.780367
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MAPE_Nu_MomY_MAPE_Nu_MomZ_MAPE_Lept_Energy_MAPE_Lept_MomX_MAPE_Lept_MomY_MAPE_Lept_MomZ_MAPE_Topology_MAE,0.780165
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_MomX_MSE_Nu_MomY_MSE_Nu_MomZ_MSE_Lept_Energy_MAE_Lept_MomX_MSE_Lept_MomY_MSE_Lept_MomZ_MSE_Topology_MAE,0.779094
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_MomX_MAE_Nu_MomY_MAE_Nu_MomZ_MAE_Topology_MAE,0.778212
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MACE_Phi_MAPE_Topology_MAE,0.776895
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAE_Topology_MAE,0.776746
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_MomX_MACE_Nu_MomY_MACE_Nu_MomZ_MACE_Lept_Energy_MAPE_Lept_MomX_MACE_Lept_MomY_MACE_Lept_MomZ_MACE_Topology_MAE,0.77636
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAE_Phi_MSE_Topology_MAE,0.772957
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MSE_Phi_MAPE_Topology_MAE,0.772431
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_MomX_MSE_Nu_MomY_MSE_Nu_MomZ_MSE_Topology_MAE,0.77203
